Parent,Child,Origin_time
454060,255349,33
68905,307955,33
537352,354688,33
176387,366805,33
654078,383462,33
723606,412332,33
331754,413541,33
617917,463077,33
640382,466015,33
164122,469725,33
715798,483819,33
475094,492677,33
466327,494487,33
758141,498781,33
765362,521564,33
420508,546214,33
213787,570681,33
276239,571068,33
8760,574444,33
86768,595999,33
160865,601794,33
960959,611427,33
60201,621663,33
763405,632604,33
619484,645216,33
503975,675816,33
339041,709784,33
469454,731510,33
276241,784184,33
176387,792675,33
769102,814171,33
136896,814569,33
720334,819166,33
481836,819941,33
644406,870100,33
630288,876188,33
503975,883231,33
36467,944818,33
160865,962918,33
744926,983140,33
428867,986572,33
8760,8759,34
23329,23330,34
60199,60200,34
97276,97275,34
114843,114844,34
114843,114845,34
131459,131457,34
160538,160536,34
179977,179978,34
179977,179979,34
199581,199579,34
204139,204141,34
205569,205568,34
260447,260446,34
267249,267250,34
322134,322131,34
322134,322133,34
334235,334236,34
339041,339042,34
365397,365393,34
365397,365396,34
365397,365399,34
370766,370764,34
370766,370765,34
419410,419409,34
461267,461268,34
475094,475092,34
503975,503972,34
503975,503974,34
537352,537350,34
544985,544981,34
566698,566699,34
572471,572469,34
587910,587912,34
603868,603867,34
615406,615408,34
623997,623999,34
644406,644405,34
650681,650678,34
684210,684211,34
689102,689105,34
744689,744688,34
750179,750180,34
762398,762397,34
802762,802763,34
819366,819364,34
819366,819365,34
832738,832739,34
873835,873831,34
898301,898297,34
910165,910167,34
962711,962712,34
962711,962713,34
998810,998811,34
640382,50269,34
681741,125470,34
681741,311233,34
681741,361400,34
636776,393899,34
640382,393993,34
919909,190,34
210059,19488,34
850665,27715,34
420508,39664,34
86767,60527,34
587910,64641,34
213788,92027,34
744689,94017,34
848492,101646,34
944785,101699,34
5616,107894,34
419410,108294,34
819366,110805,34
334235,112826,34
210060,114565,34
687241,118565,34
886936,149198,34
213787,181328,34
654078,183112,34
47537,217454,34
273213,234253,34
168894,236544,34
225930,240930,34
758093,241257,34
95426,254579,34
587910,257732,34
819366,267865,34
334235,279790,34
187443,282784,34
616171,291221,34
339546,297313,34
205080,309251,34
142579,319429,34
857370,321625,34
993875,344503,34
750179,345990,34
457412,358601,34
819366,369728,34
658180,388200,34
682564,389780,34
618714,390346,34
768409,428703,34
226376,438790,34
116727,447333,34
160865,448213,34
683282,460043,34
587910,483007,34
302390,484100,34
205080,491006,34
225930,506546,34
322134,512067,34
644406,520946,34
978112,531023,34
768409,547724,34
60201,552790,34
970381,579995,34
605706,591983,34
334784,603357,34
999096,604967,34
354029,631537,34
213788,644431,34
276239,754095,34
210060,761736,34
116727,769379,34
276239,777957,34
931417,778561,34
999096,783275,34
765362,785140,34
276239,802520,34
362476,820124,34
853549,864139,34
939111,865352,34
924576,867119,34
176387,887389,34
924576,912822,34
420508,934929,34
33509,942952,34
187443,986447,34
315019,988564,34
272371,990000,34
212519,993728,34
176387,7591,34
853549,10305,34
832738,47974,34
654078,65270,34
215123,90230,34
605706,98908,34
388965,114458,34
217559,123590,34
491353,153742,34
83460,195857,34
522324,222724,34
204139,273557,34
116729,284676,34
217559,295382,34
944785,312611,34
319786,318850,34
414506,324225,34
744926,339596,34
176387,357468,34
991,368536,34
694392,376740,34
962711,401761,34
587910,407926,34
213788,432732,34
619484,438110,34
362507,443628,34
138826,459142,34
47537,465913,34
1149,471520,34
978112,488303,34
319788,517037,34
682775,517845,34
682564,518461,34
605706,566247,34
760060,567918,34
776285,595832,34
179977,607896,34
853549,621492,34
469454,629309,34
213788,630599,34
23329,642448,34
566698,693583,34
258297,695402,34
420508,732333,34
138338,739609,34
205569,750937,34
636781,751313,34
46534,764612,34
640382,806186,34
1149,811848,34
280653,825746,34
205569,831010,34
489617,847197,34
877860,855770,34
503975,856092,34
744689,859908,34
420508,862139,34
720333,870178,34
204142,880058,34
267249,940395,34
187443,950062,34
116727,953950,34
319786,969065,34
819366,969360,34
114843,978384,34
11159,11157,35
47537,47538,35
79187,79185,35
178579,178580,35
225930,225931,35
225930,225932,35
226376,226378,35
252089,252091,35
272371,272372,35
285772,285771,35
320998,321000,35
322134,322132,35
329447,329451,35
353501,353497,35
354029,354027,35
357372,357373,35
362476,362478,35
384814,384813,35
393808,393809,35
429627,429626,35
432633,432634,35
457412,457411,35
489619,489616,35
489619,489620,35
505530,505529,35
539027,539028,35
544985,544982,35
618714,618715,35
619484,619486,35
636776,636778,35
647675,647677,35
650681,650679,35
694392,694393,35
694392,694394,35
718960,718963,35
740449,740453,35
744926,744921,35
762398,762396,35
830633,830632,35
842071,842072,35
843002,843003,35
843002,843004,35
876571,876572,35
877860,877861,35
915091,915092,35
918986,918984,35
962711,962714,35
983140,983141,35
930350,35095,35
205569,173397,35
205569,186754,35
921788,607990,35
205569,652756,35
672293,729199,35
250872,9427,35
962711,29946,35
432633,32279,35
819366,50600,35
273264,53087,35
276239,56177,35
204139,59500,35
353501,61860,35
114847,77858,35
682775,92422,35
750877,103089,35
819366,104212,35
654078,113444,35
723606,116598,35
217557,116669,35
362476,120435,35
114847,122899,35
334235,130336,35
566698,141422,35
565235,156157,35
819366,175964,35
555823,186955,35
549338,199719,35
390994,201576,35
669107,219224,35
47537,229396,35
609469,230488,35
276239,242511,35
210191,317730,35
693131,319141,35
210059,321898,35
210191,334276,35
379859,345595,35
419410,358071,35
331754,366084,35
